Id,Senang,Sedih,Menjijikkan,Meremehkan,Marah,Takut,Surprise
1,7,4,,,,,
1,,1,,,,,
1,10,2,0,0,0,0,0
1,3,5,0,0,0,0,0
1,,5,,,,,
1,8,8,,,,,
1,1,7,0,0,0,0,0
1,2,6,,,,1,
1,,5,,,,,
1,6,3,,,,,
2,7,,,,,,
2,5,,,,,,
2,,10,,,,,
2,10,3,0,0,4,0,0
2,,9,,,,,
2,5,2,0,0,0,0,0
2,6,,,,,,
2,,9,,,,,
2,5,5,,9,,,
2,0,10,0,0,2,5,0
3,10,0,0,0,0,0,10
3,10,,,,,,7
3,7,,,,,,
3,7,,,,,,
3,10,9,,,,,
3,8,8,,,,,
3,5,5,0,0,0,0,0
3,10,3,0,0,0,0,3
3,8,0,,,,,
3,7,0,,,,,
4,,4,,,,,
4,,8,,,,,
4,,7,,,,7,
4,9,,,,,,
4,6,7,0,0,0,7,0
4,5,3,0,0,0,0,0
4,1,10,0,0,0,3,0
4,8,5,,,,,
4,1,7,,,,,
4,,6,,,,,
5,,7,,,,,
5,,,3,,,,
5,10,0,0,0,0,0,0
5,3,5,0,0,0,0,0
5,8,5,,,,,
5,,5,,,,,
5,6,,,,,,
5,0,7,0,0,0,0,0
5,1,6,,,,,
5,8,,,,,,
6,9,,,,,,
6,10,0,1,0,0,0,8
6,7,0,0,0,0,0,7
6,9,,,,,,7
6,10,,,,,,6
6,10,,,,,,4
6,10,,,,,,
6,9,,,,8,,
6,5,,,,,,
6,9,0,1,1,3,0,5
7,,7,,,,,7
7,,,5,,,,
7,2,7,,,,,
7,,8,,,,,5
7,,,6,,,,6
7,7,4,4,4,0,0,4
7,0,0,7,7,0,0,5
7,3,10,3,0,10,0,0
7,10,,,,,,
7,,10,2,,,,
8,,,10,,,,
8,0,7,7,7,0,0,5
8,,,10,10,,,
8,3,0,10,3,4,0,0
8,,,7,,,,3
8,,,9,,,,
8,,,7,6,,,
8,,,7,6,,,
8,1,0,6,9,2,0,0
9,,,,,,,6
9,,,9,,,,
9,,3,,,,,
9,5,5,10,10,0,0,0
9,7,7,,,,,
9,2,,7,,,,2
9,5,,,,,,4
9,0,0,10,2,0,0,0
9,6,5,8,5,2,0,2
8,,,9,,,,
9,7,,,,,,
10,,,9,,7,,
10,8,5,10,2,2,3,1
10,0,5,10,10,0,0,0
10,,3,5,,2,1,
10,5,10,,,,,
10,,7,10,9,,,4
10,0,8,0,0,1,0,0
10,,2,5,6,,,
10,,,7,7,,,
10,2,9,,,,,0
11,,5,,,,3,
11,,,9,,,,
11,10,,1,,,,
11,,,10,,8,,
11,5,5,10,10,0,0,0
11,10,5,10,2,2,7,3
11,,7,5,4,,,5
11,0,5,10,0,0,0,0
11,6,7,,,,,5
11,,7,9,,2,,
12,5,5,10,10,0,0,0
12,,,,,,,8
12,8,1,8,0,0,0,0
12,,,7,,,,
12,,,8,,,,7
12,0,0,9,10,0,3,0
12,,5,,,,3,
12,1,8,3,,8,7,
12,3,,6,2,,5,
12,10,5,,,,,
13,10,,,,,,
13,0,0,0,0,0,,
14,9,,,,,,
14,10,2,10,0,0,0,10
14,9,,,,,,4
13,10,,,,,,
14,9,,,,0,0,8
14,8,5,1,7,1,3,5
14,7,0,0,0,0,0,0
14,8,0,,,0,,2
14,9,,,,,,
14,3,0,0,3,5,1,0
15,10,,,,,,
15,10,,,,,,
15,8,0,0,0,0,0,0
15,10,0,0,0,0,0,10
15,6,,,,,,
15,7,,,,,,2
15,7,5,2,1,0,1,3
15,0,0,0,5,0,0,0
16,9,,,,,,
16,10,,,,,,
16,7,0,0,0,0,0,0
16,7,,,,,,3
16,7,,,,,,
16,10,0,0,0,0,0,10
16,9,,,,,,9
16,8,0,0,0,0,0,7
16,9,3,2,3,1,1,1
17,8,,,,,,
17,9,,,,,,
17,9,0,0,0,0,0,10
17,9,,,,,,
17,5,,,,,,
17,6,0,0,0,0,0,0
17,3,8,2,2,1,0,1
17,5,6,,,,0,
17,0,3,0,2,0,0,0
18,9,,,,,,
18,,4,,,,,
18,,5,,,,,
18,9,,,,,,
18,7,0,0,0,0,0,0
18,9,3,0,0,0,0,10
18,2,5,0,0,0,0,0
18,1,6,2,0,0,0,0
18,9,,,0,,,
19,8,,,,,,4
19,9,,,,,,
19,9,,,,,,8
19,3,0,0,0,0,0,9
19,10,0,0,0,0,0,10
19,7,,,,,,2
19,9,,,,,,
19,10,1,3,5,0,0,2
19,9,,,,,,9
20,10,,,,,,
20,4,4,3,,,,
20,10,0,0,0,0,0,10
20,8,,,,,,
20,4,0,0,0,0,0,10
20,6,,1,,,,4
20,10,1,3,8,1,1,5
20,3,,,,6,,5
21,,6,,,,,
21,9,2,0,0,0,0,7
21,5,2,,,,,
21,6,,,,,,
20,7,,,,,,
21,6,8,3,6,1,3,1
21,0,3,0,0,0,0,2
21,6,,,,5,,8
21,5,,,,,,
22,8,,,,,,
22,,6,,,,,
22,4,4,,,,2,
22,8,1,0,0,0,0,8
22,5,,,,,,
22,4,5,2,5,2,3,2
22,7,,,,,,8
22,0,3,0,0,4,0,0
23,9,,,,,,
23,8,3,3,0,0,0,0
23,,5,,,,,
23,,6,,,,1,
23,,4,,,,,
23,5,,,,7,,6
23,0,9,0,0,0,0,0
23,,7,3,,,,
24,10,0,0,0,0,0,7
24,,,,,7,,
24,7,,,,,,6
24,,,4,,,,
24,8,,,,,,
24,2,,,,5,,8
24,4,0,0,0,0,0,7
24,6,3,,,,,
25,10,,,,,,
25,10,2,0,0,0,0,7
25,8,,,,,,3
25,7,,,,,,
25,10,,,,,,7
25,10,,,,,,
25,7,5,3,2,3,3,3
25,3,7,0,0,0,0,0
26,8,,,,,,7
26,,,,5,,,
26,9,0,0,0,0,0,7
26,6,,,,,,
26,10,,,,,,10
26,,,5,,,,6
26,4,0,1,1,0,0,5
26,5,8,5,,,3,
27,8,,,,,,4
27,10,0,0,0,0,2,4
27,10,,,,,,8
27,,,9,,,,
27,2,3,7,6,,4,
27,0,0,7,0,2,0,0
28,10,,,,,,9
28,6,,,,,,6
28,5,,,,,,9
28,9,0,2,2,3,0,6
28,4,0,0,0,0,0,7
27,1,,,,,,
28,6,3,4,2,0,5,3
28,9,,,,,,
28,,,6,,,,
27,1,,,,,,
28,6,,,,,,
29,6,,,,,,6
29,3,2,,,,,
29,10,,,,,,
29,7,0,0,1,1,1,6
29,7,,,,,9,
29,,,6,,,,
29,6,0,0,0,0,0,3
30,7,,,,,,
30,,,,,,,8
30,,,6,,,3,
30,7,1,2,2,2,3,6
30,7,,,,,,6
30,,,7,,,,
30,0,0,2,6,2,1,0
31,,4,,,,,
31,,5,,,,2,
31,0,6,0,7,0,0,0
31,,6,,,,,
31,,4,,,,,
31,6,4,2,2,3,2,3
31,6,4,2,2,3,2,3
31,,,,3,,2,0
32,3,,,,,,5
32,,,,9,,,
32,8,,,,,,
32,5,,,,,,
32,7,2,5,,,,
32,7,1,2,1,2,3,5
32,5,0,0,0,0,0,3
33,,,7,,,,
33,5,0,0,0,0,0,3
33,4,,,,,,5
33,9,,,,,,6
33,8,,,,,,
33,0,3,4,2,0,0,0
34,4,,,,,,6
34,10,,,,,,10
33,7,3,2,,,,
34,,,,,,,9
34,8,0,0,0,7,0,7
34,6,0,0,0,0,0,4
34,,,,,5,,
31,8,,,,,,
35,,,,,5,,
35,,3,,,,,
35,10,,,,,,10
35,8,0,0,0,1,0,6
33,10,,3,,,,4
35,0,4,5,4,0,0,0
35,7,0,,,,,3
36,10,,,,,,10
36,5,,,,,,
36,,5,,,,,5
36,9,0,0,0,0,5,7
36,3,0,0,0,0,0,7
36,9,2,3,2,5,,8
36,8,,,,,,6
36,,8,,,,,
37,,,,6,,,
37,10,,,,,,10
37,6,,,,,,6
37,9,3,1,,,,6
37,0,0,4,7,9,0,0
37,8,1,2,2,2,2,7
37,5,,,,,,6
38,10,,,,,,10
38,,5,,,5,,2
38,,,,,5,,
38,8,0,0,0,0,0,6
38,,6,,,,,3
38,4,6,3,5,1,1,5
38,2,0,0,0,0,0,0
39,8,,,,,,6
39,5,,,,,,
39,,6,,,,,4
39,,5,,,,,
39,6,0,0,1,0,0,5
39,0,0,2,2,6,1,0
38,2,7,,,,,7
40,5,,,,,,4
40,7,0,0,0,2,3,7
40,8,,,,6,,
40,0,0,5,5,7,4,0
40,6,5,2,6,1,4,7
40,6,,,,5,,5
41,10,,,,,,
40,4,,,,,,
41,8,0,0,0,0,0,7
41,6,,,,,,6
41,5,,,,,,
41,5,5,1,3,2,1,6
41,0,0,0,0,9,7,0
41,5,1,,,1,,2
42,8,,,,,,
42,,,,5,,,
42,2,4,2,1,,,4
42,5,4,,,,,
42,8,9,6,6,0,8,9
42,3,,,,,,
43,,2,,,,,
42,0,5,0,0,2,0,0
43,,6,,,,,
43,8,,,,,,
43,,3,,,,,
43,1,6,1,2,,,
43,7,5,0,0,0,0,6
43,0,8,0,0,0,0,0
44,,4,,,,,
44,,10,,,,,
44,6,4,0,0,0,0,8
44,0,9,0,4,0,0,0
44,,4,,,,,
44,,7,,,,,
44,3,8,3,3,,,
45,9,9,,,,,
45,8,,,,,,
45,7,5,,,,,
45,10,0,0,0,0,0,4
45,,5,,,,,2
45,4,5,2,2,1,1,3
45,9,4,0,0,0,0,0
46,7,0,0,0,0,0,3
46,,5,,,,,8
46,5,,,,,,
46,,4,,,,,
46,5,8,,,,,
46,,6,,,,,5
46,0,6,0,1,0,0,0
47,9,,,,,,
47,10,0,0,0,0,0,9
47,,6,,,,,
47,,,,5,,,6
47,5,8,3,2,1,2,
47,8,3,0,0,0,0,0
47,7,5,,,,,
48,5,,,,,,5
48,7,,,,,,9
48,10,,,,,,
48,6,6,,,,,5
48,8,0,6,0,0,0,2
47,10,2,2,2,1,1,1
48,10,0,0,0,0,0,10
49,10,,,,,,
49,10,0,0,0,0,0,9
49,10,9,,,,,7
49,6,,,,,,
49,7,7,,,,,
49,9,0,0,0,0,0,0
49,5,6,,,,,
50,8,0,2,2,6,0,7
50,10,,,,,,9
50,8,,,,,,8
50,0,0,5,7,9,8,0
50,,,,,7,,7
50,,,,,5,,
50,4,9,3,5,2,2,
51,4,3,1,3,3,2,8
51,,,9,,,,9
51,6,,,,,,3
51,6,,5,,,,2
51,5,,,,,,
51,0,0,8,8,10,8,0
51,9,2,4,5,0,3,5
52,10,1,1,1,1,1,8
52,,,10,7,,,
52,7,,,,,,3
52,5,,,,,,7
52,7,3,4,2,,,
52,,,,4,,,
52,1,0,3,3,0,0,0
53,9,0,0,0,0,0,2
53,10,,,,,,
53,7,,,,,,
53,,6,,,,,
53,,5,,,,,
53,6,,,,,,
53,0,2,9,6,0,0,0
54,7,0,0,0,0,2,2
54,7,,,,,,3
54,8,,,,,,9
54,7,,,,,,5
54,8,2,,,,,3
54,0,0,6,6,1,0,0
55,8,,,,,,5
55,,,8,,,,
54,10,,,,,,
55,7,,,,,,7
55,10,0,0,0,0,2,10
55,6,3,1,,,,3
55,2,0,3,0,3,0,4
56,10,0,0,0,0,0,9
56,,6,,,,2,
56,5,,,,,,4
56,,,9,,,,
56,0,4,0,0,0,0,0
56,3,6,2,,6,4,
56,10,,,,,,
56,10,0,0,0,0,0,0
57,,6,,,,,
7,,6,,,,,
57,,,,,,,
57,3,7,1,,,,1
57,10,,,,,,
57,9,0,0,0,0,0,0
58,2,5,,,,9,5
58,2,,,,5,,
58,10,,,,,,10
58,6,1,3,0,8,10,8
58,,6,,,,7,
58,,,,,,5,5
58,0,0,5,6,8,9,0
59,,,,,7,,
59,,,,,,8,
59,,,,,,7,
59,0,1,0,0,0,10,0
59,,3,0,2,,7,2
59,0,9,0,0,0,10,0
59,5,,,,,,
60,9,,,,,,
60,7,,,,,,
60,8,0,0,0,0,0,8
60,,,,,,5,
60,4,2,,,,7,2
60,8,,,,,,4
60,,,6,,5,9,
61,,9,,,,6,
61,5,0,0,0,0,0,0
61,,,6,,,10,
61,,5,,,,,3
61,5,,,,,,0
61,,6,,,,,
62,9,,,,,,
61,,,,,,6,4
62,,,,,6,6,
62,1,0,3,0,5,9,4
61,,,8,,9,10,
62,1,4,0,2,1,7,7
63,6,0,0,0,0,0,0
63,7,,,,,,2
63,3,5,,,,1,1
63,10,,,,,,
63,6,,,,,,
64,1,1,,,,0,0
64,6,,,,,,
64,6,0,0,0,0,0,0
64,,5,,,,,
64,,4,,,,7,
64,5,0,,,,,
65,5,,,,,,
65,6,,,,,,
65,,3,,,,2,2
65,2,2,2,2,3,3,6
65,,,8,9,,,
65,8,,,,,,
66,8,1,0,0,0,0,0
66,,5,,,,,
66,4,,,,,,4
66,7,,,,,,6
66,7,,,,,,
66,3,3,,2,,,2
67,8,0,0,0,0,0,0
67,10,,,,,,
67,5,,,,,,3
67,,,,,,8,3
67,,,9,9,10,9,
67,8,,,,,,
68,,4,,,,,1
68,7,0,0,0,0,0,0
68,1,1,2,1,,4,3
68,,,5,8,,,
68,,5,,,,,
68,5,,,,,,
69,10,,,,,,
69,10,0,0,0,0,0,0
69,7,,,,,,4
69,9,,,,,,
69,,,5,8,3,4,
69,3,1,,,,,4
70,9,,,,,,
70,9,,,,,,9
70,5,,,,,,3
70,7,0,0,0,0,0,4
70,3,4,,,,1,5
70,,2,8,6,4,,
71,10,0,0,0,0,0,0
71,9,,,,,,
71,5,,,,,,
71,6,,,,,,
71,3,,4,5,,,
71,1,2,,,,,4
72,9,,,,,,
72,6,0,0,0,0,0,0
72,7,,,,,,3
72,1,4,1,,,,1
72,8,,,7,,,3
72,8,,,7,,,3
73,,4,,,,,
73,3,3,,,4,3,0
73,8,0,0,0,0,0,0
73,5,2,,,,,
74,3,6,0,1,,,
73,,,7,,,4,
74,10,,,,,,10
74,7,0,0,0,1,1,3
74,1,,5,6,,4,
74,8,,,,,,
74,5,,,,,,3
74,2,4,0,0,0,2,2
75,,,,6,,5,2
75,,,6,6,8,5,
74,2,6,,,,,
75,,,,,,5,
75,7,0,0,0,3,2,4
75,,5,,,,,
76,5,,,,,,
76,,,5,5,5,,
76,2,6,,,,,
76,6,0,0,0,0,0,9
76,5,,,,,,1
76,,,4,4,7,,
77,1,8,1,0,,,
77,,4,,,,,
77,8,,,,,,
77,7,0,0,0,0,0,0
77,,,5,5,9,7,
77,5,,,,,,2
78,8,,,,,,6
78,5,,,,3,,
78,5,0,0,0,0,0,2
80,2,1,1,1,0,1,
78,5,,,,,,
78,,,8,7,9,7,
79,9,,,,,,
79,10,,,,,,
78,7,0,0,0,0,0,0
79,3,1,1,1,0,3,1
79,4,,,,,,3
79,,,6,,6,,
80,5,5,,,,,
80,8,,,,,,
80,5,,,,,,
80,1,5,,,,,
80,7,0,0,0,0,1,0
80,,,7,7,8,7,
81,2,2,,,,,
81,,9,,,,,
81,8,,,,,,
81,7,0,0,0,0,0,0
81,,6,,,,,4
81,,,7,7,,,
82,10,,,,,,
82,10,,,,,,
82,8,,,,,,6
82,7,0,0,0,0,0,0
82,,,6,9,9,2,
82,9,,,,,,
83,9,,,,,,
83,9,,,,,,9
83,7,0,0,1,0,0,1
83,3,,3,5,8,,
83,5,5,,,,,
84,3,1,0,0,0,0,0
84,,,5,7,10,10,
84,,,,,,5,
84,0,,,,6,4,
84,3,2,,,,9,
85,10,,,,,,
85,7,,,,,,
85,,,,,8,7,
85,10,0,0,0,0,0,0
85,7,,,,,,
85,4,0,0,,,,
86,9,,,,,,
86,6,,,,,,2
86,,,,8,10,10,
86,10,4,4,4,4,0,0
86,3,6,,,,,
86,7,,,,,,
87,7,,,,,,
87,10,0,0,0,0,0,5
87,,7,,,,,
87,1,8,,,,,
87,6,3,,,,,
